11/02/2021 02:40:06 AM : SECURITY - Log in [2, e@e.com, 127.0.0.1]
11/02/2021 02:40:30 AM : SECURITY - Log out [2, e@e.com, 127.0.0.1]
11/02/2021 02:40:45 AM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
11/02/2021 02:41:17 AM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
11/02/2021 02:41:28 AM : SECURITY - Log in [2, e@e.com, 127.0.0.1]
11/02/2021 02:42:31 AM : SECURITY - Log out [2, e@e.com, 127.0.0.1]
11/02/2021 02:42:59 AM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
11/02/2021 02:43:15 AM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
11/02/2021 02:43:39 AM : SECURITY - Log in [3, testuser@test.com, 127.0.0.1]
11/02/2021 02:44:14 AM : SECURITY - Log out [3, testuser@test.com, 127.0.0.1]
11/02/2021 02:44:30 AM : SECURITY - Log in [2, e@e.com, 127.0.0.1]
11/02/2021 02:44:56 AM : SECURITY - Log out [2, e@e.com, 127.0.0.1]
